2.24551	2920	9482
2.3711	9482	10955
2.41341	10955	13901
2.44801	13901	16847
2.49714	16847	19793
2.52441	19793	22739
2.55253	22739	27158
2.57647	27158	31577
2.6327	31577	35994
2.65316	35994	40409
2.66725	40409	43355
2.68655	43355	47772
2.70586	47772	52187
2.71843	52187	55133
2.73684	55133	59548
2.75526	59548	63967
2.76793	63967	66913
2.78619	66913	71332
2.80459	71332	75751
2.82301	75751	80170
2.84144	80170	84589
2.85986	84589	89008
3.75204	89008	87173
4.16589	87173	61676
4.67848	61676	61922
7.3938	61922	58661
8.13467	58661	56673
9.15905	56673	58736
9.52933	58736	60526
12.2756	60526	58548
12.7013	58548	61821
12.7013	61821	5840
12.7197	5840	10263
12.7197	10263	5840
12.7381	5840	10259
12.7381	10259	5840
12.7507	5840	8790
12.7507	8790	5840
12.7691	5840	10265
12.7691	10265	5840
12.7876	5840	10265
12.7876	10265	5840
12.8062	5840	10265
12.8062	10265	5840
12.8245	5840	10263
12.8245	10263	5840
12.8429	5840	10263
12.8429	10263	5840
12.8554	5840	8786
12.8554	8786	5840
12.8739	5840	10265
12.8739	10265	5840
12.8923	5840	10263
12.8923	10263	5840
12.9108	5840	10263
12.9108	10263	5840
12.9233	5840	8790
12.9233	8790	5840
12.9356	5840	8790
12.9356	8790	5840
12.9482	5840	8790
12.9482	8790	5840
12.9645	5840	7313
12.9645	7313	5840
12.9795	5840	7315
12.9795	7315	5840
13.0357	5840	7315
13.0357	7315	5840
13.064	5840	8788
13.064	8788	5840
13.0665	5840	7313
13.0665	7313	5840
13.1121	5840	8788
13.1121	8788	5840
13.1848	5840	7315
13.1848	7315	5840
13.2366	5840	8790
13.2366	8790	5840
13.3182	5840	58548
13.3182	58548	58557
13.5593	58557	58555
13.5718	58555	58598
13.726	58598	61011
14.0036	61011	62629
16.4709	62629	60137
17.4704	60137	58542
18.5871	58542	58893
