2.10701	12
2.10721	5
2.2255	5
2.24551	6
2.25051	6
2.36384	6
2.3711	5
2.38111	6
2.41341	6
2.44801	6
2.49714	6
2.5217	5
2.52441	6
2.55253	5
2.57647	10
2.60327	5
2.61691	5
2.6327	5
2.65316	5
2.66725	5
2.68655	5
2.69942	5
2.70586	5
2.71843	5
2.73684	5
2.75526	5
2.76775	5
2.76793	5
2.78619	10
2.80459	5
2.82301	5
2.82915	5
2.84144	7
2.85986	7
2.87828	7
2.89668	5
2.89687	7
2.91509	7
2.9335	7
2.94599	7
2.9644	5
2.96459	7
2.98286	12
3.00125	7
3.01967	7
3.03193	5
3.03807	7
3.05648	7
3.07486	7
3.08733	7
3.0996	5
3.10575	7
3.12417	7
3.14259	7
3.16099	7
3.16711	5
3.17941	12
3.1917	7
3.2103	7
3.22872	7
3.23485	5
3.24714	7
3.26555	7
3.28396	7
3.29645	7
3.30258	5
3.31487	7
3.33329	7
3.35169	7
3.36415	5
3.36436	12
3.38258	7
3.40099	7
3.41329	7
3.43188	5
3.43207	7
3.45031	7
3.46873	7
3.48103	7
3.49961	5
3.4998	7
3.51804	7
3.53646	7
3.55488	12
3.56732	5
3.56751	7
3.58575	7
3.60417	7
3.61646	7
3.63504	5
3.63522	7
3.65346	7
3.67189	7
3.68421	7
3.70282	5
3.70301	7
3.72128	7
3.73973	12
3.75204	7
3.77065	5
3.77084	7
3.78911	7
3.80753	7
3.81985	7
3.83847	5
3.83866	7
3.85692	7
3.87535	7
3.88768	7
3.9063	5
3.90649	7
3.92477	12
3.93706	7
3.95569	7
3.96798	5
3.97414	7
3.9926	7
4.01103	7
4.02337	7
4.03585	5
4.04201	7
4.06046	7
4.0789	7
4.09125	7
4.10373	5
4.10991	12
4.1224	7
4.13491	7
4.15337	7
4.16589	7
4.17203	5
4.18434	7
4.19684	7
4.20918	7
4.22781	7
4.24009	5
4.24028	7
4.25878	7
4.27114	12
4.28974	7
4.30816	5
4.30835	7
4.32051	7
4.33915	7
4.35761	7
4.37605	5
4.37624	7
4.39451	7
4.41295	7
4.42548	7
4.44391	5
4.4441	7
4.45628	12
4.4749	7
4.48722	7
4.50585	5
4.50604	7
4.52432	7
4.54276	7
4.55529	7
4.57373	5
4.57392	7
4.5922	7
4.61063	7
4.62314	7
4.64158	5
4.64179	12
4.66005	7
4.67848	7
4.69101	7
4.70945	5
4.70964	7
4.72792	7
4.74637	7
4.75869	7
4.77731	5
4.7775	7
4.79578	7
4.81423	7
4.83269	12
4.84518	5
4.84537	7
4.86365	7
4.8821	7
4.90054	7
4.91283	5
4.91302	7
4.93152	7
4.94998	7
4.96843	7
4.98071	5
4.98686	7
4.99939	7
5.01788	12
5.0363	7
5.04857	5
5.04876	7
5.06724	7
5.0857	7
5.10415	7
5.11029	5
5.1226	7
5.14104	7
