% time_sec plt_sec
5.97382 2.37999
104.374 1.24731
180.074 7.77844
260.574 2.97258
268.974 3.14743
379.918 0.799608
410.874 13.2843
431.478 0.550711
432.364 0.80343
526.774 1.87755
582.493 0.596817
620.274 1.25741
682.886 1.23652
687.074 3.28276
728.674 4.15758
729.954 0.658405
747.04 0.620951
784.974 1.25537
788.7 0.571599
808.174 1.46735
816.59 0.64374
825.674 7.21313
831.874 2.05038
850.474 1.20446
852.732 0.671689
885.074 16.6289
913.378 4.35542
931.574 1.15897
996.974 2.51085

